Dependency=geometry_unit_cfa_bin_simp,Dependency=vintage_simp,Dependency=heating_fuel,100,101-124,125,126-199,200,201+,<100
0-999,1940-69,electricity,0.270015699,0,0.544740973,0,0.092621664,0.067503925,0.025117739
0-999,1940-69,non-electricity,0.984647411,0.004163414,0,0,0.011189175,0,0
0-999,1970-79,electricity,0.070743953,0.041898676,0.589958923,0.057690552,0.182017344,0.014422638,0.043267914
0-999,1970-79,non-electricity,0.910490938,0.0024729,0.000639211,0.013291839,0.019937758,0.006645919,0.046521435
0-999,1980-89,electricity,0.022978723,0,0.44212766,0.184680851,0.173191489,0,0.177021277
0-999,1980-89,non-electricity,0.910490938,0.0024729,0.000639211,0.013291839,0.019937758,0.006645919,0.046521435
0-999,1990+,electricity,0.027607362,0,0.622699387,0.036809816,0.303680982,0,0.009202454
0-999,1990+,non-electricity,0.01986755,0,0.735099338,0.01986755,0.01986755,0.185430464,0.01986755
0-999,<1940,electricity,0.139363424,0,0.200503507,0.139363424,0.127135407,0,0.393634238
0-999,<1940,non-electricity,0.858201006,0,0.001684544,0.035028612,0,0,0.105085837
1000-1999,1940-69,electricity,0.072329689,0,0.708438464,0,0.037286235,0,0.181945613
1000-1999,1940-69,non-electricity,0.819825973,0.003949752,0.022985775,0.01532385,0.0306477,0,0.10726695
1000-1999,1970-79,electricity,0.554605626,0.007777165,0.303309432,0.03110866,0.055488141,0.024379482,0.023331495
1000-1999,1970-79,non-electricity,0.678571429,0,0.107142857,0.035714286,0.035714286,0.071428571,0.071428571
1000-1999,1980-89,electricity,0.133550489,0,0.556460369,0.066775244,0.220955483,0,0.022258415
1000-1999,1980-89,non-electricity,0.454545455,0,0.090909091,0.045454545,0.227272727,0.090909091,0.090909091
1000-1999,1990+,electricity,0.1125,0,0.66875,0.06875,0.11875,0.01875,0.0125
1000-1999,1990+,non-electricity,0.297468354,0,0.246835443,0.069620253,0.240506329,0.075949367,0.069620253
1000-1999,<1940,electricity,0.076182007,0,0.457092041,0.076182007,0,0,0.390543945
1000-1999,<1940,non-electricity,0.884105221,0.001973449,0.003408177,0.015787593,0.04736278,0.005920347,0.041442432
2000+,1940-69,electricity,0,0,0.904761905,0,0.047619048,0,0.047619048
2000+,1940-69,non-electricity,0.858740514,0.003861004,0,0,0.103048862,0,0.034349621
2000+,1970-79,electricity,0.053571429,0.017857143,0.696428571,0.071428571,0.089285714,0.017857143,0.053571429
2000+,1970-79,non-electricity,0.820629868,0.000688368,0.013330969,0.036744621,0.085737449,0.006124103,0.036744621
2000+,1980-89,electricity,0.171428571,0,0.714285714,0.085714286,0,0,0.028571429
2000+,1980-89,non-electricity,0.820629868,0.000688368,0.013330969,0.036744621,0.085737449,0.006124103,0.036744621
2000+,1990+,electricity,0.042347697,0,0.691679049,0.056463596,0.195393759,0,0.014115899
2000+,1990+,non-electricity,0.487115022,0,0.107479573,0.064739158,0.170333124,0.052796983,0.117536141
2000+,<1940,electricity,0.044741146,0,0.80888802,0.044741146,0.028444271,0,0.073185417
2000+,<1940,non-electricity,0.862779661,0,0.001412429,0.047932203,0.063909605,0,0.023966102
