Input Name,Input Description,Data Type
build_existing_model.ahs_region,:ref:`ahs_region`,string
build_existing_model.aiannh_area,:ref:`aiannh_area`,string
build_existing_model.area_median_income,:ref:`area_median_income`,string
build_existing_model.ashrae_iecc_climate_zone_2004,:ref:`ashrae_iecc_climate_zone_2004`,string
build_existing_model.ashrae_iecc_climate_zone_2004_sub_cz_split,:ref:`ashrae_iecc_climate_zone_2004___sub_cz_split`,string
build_existing_model.bathroom_spot_vent_hour,:ref:`bathroom_spot_vent_hour`,string
build_existing_model.battery,:ref:`battery`,string
build_existing_model.bedrooms,:ref:`bedrooms`,string
build_existing_model.building_america_climate_zone,:ref:`building_america_climate_zone`,string
build_existing_model.cec_climate_zone,:ref:`cec_climate_zone`,string
build_existing_model.ceiling_fan,:ref:`ceiling_fan`,string
build_existing_model.census_division,:ref:`census_division`,string
build_existing_model.census_division_recs,:ref:`census_division_recs`,string
build_existing_model.census_region,:ref:`census_region`,string
build_existing_model.city,:ref:`city`,string
build_existing_model.clothes_dryer,:ref:`clothes_dryer`,string
build_existing_model.clothes_dryer_usage_level,:ref:`clothes_dryer_usage_level`,string
build_existing_model.clothes_washer,:ref:`clothes_washer`,string
build_existing_model.clothes_washer_presence,:ref:`clothes_washer_presence`,string
build_existing_model.clothes_washer_usage_level,:ref:`clothes_washer_usage_level`,string
build_existing_model.cooking_range,:ref:`cooking_range`,string
build_existing_model.cooking_range_usage_level,:ref:`cooking_range_usage_level`,string
build_existing_model.cooling_unavailable_days,:ref:`cooling_unavailable_days`,string
build_existing_model.cooling_setpoint,:ref:`cooling_setpoint`,string
build_existing_model.cooling_setpoint_has_offset,:ref:`cooling_setpoint_has_offset`,string
build_existing_model.cooling_setpoint_offset_magnitude,:ref:`cooling_setpoint_offset_magnitude`,string
build_existing_model.cooling_setpoint_offset_period,:ref:`cooling_setpoint_offset_period`,string
build_existing_model.corridor,:ref:`corridor`,string
build_existing_model.county,:ref:`county`,string
build_existing_model.county_and_puma,:ref:`county_and_puma`,string
