field_location	field_name	units	field_description
metadata_and_annual	bldg_id	n/a	The building unit number (between 1 and the number of samples).
metadata_and_annual	completed_status	n/a	The simulation status.
metadata_and_annual	upgrade	n/a	The upgrade number
metadata_and_annual	in.upgrade_name	n/a	User-specificed name that describes the upgrade.
metadata_and_annual	weight	n/a	Number of buildings this simulation represents.
metadata_and_annual	applicability	n/a	Whether the upgrade is applicable to the building. Will be always True for baseline.
metadata_and_annual	in.sqft..ft2	ft2	Floor Area, Conditioned
metadata_and_annual	in.representative_income	usd	Average representative income of the country
metadata_and_annual	in.county_name	n/a	County name
metadata_and_annual	in.ahs_region	n/a	The American Housing Survey region that the sample is located.
metadata_and_annual	in.aiannh_area	n/a	American Indian/Alaska Native/Native Hawaiian Area that the sample is located.
metadata_and_annual	in.area_median_income	n/a	Area median income of the household occupying the dwelling unit.
metadata_and_annual	in.ashrae_iecc_climate_zone_2004	n/a	Climate zone according to ASHRAE 169 in 2004 and IECC in 2012 that the sample is located.
metadata_and_annual	in.ashrae_iecc_climate_zone_2004_sub_cz_split	n/a	Climate zone according to ASHRAE 169 in 2004 and IECC in 2012 that the sample is located. Climate zone where climate zone 2A is split between counties in TX, LA and FL, GA, AL, and MSClimate zone where climate zone 1A is split between counties in FL and HI.
metadata_and_annual	in.bathroom_spot_vent_hour	n/a	Bathroom spot ventilation daily start hour.
metadata_and_annual	in.battery	n/a	The size of an onsite battery (not used in baseline models).
metadata_and_annual	in.bedrooms	n/a	The number of bedrooms in the dwelling unit.
metadata_and_annual	in.building_america_climate_zone	n/a	The Building America Climate Zone that the sample is located.
metadata_and_annual	in.cec_climate_zone	n/a	The California Energy Commission Climate Zone that the sample is located.
metadata_and_annual	in.ceiling_fan	n/a	Presence and energy usage of ceiling fans at medium speed.
metadata_and_annual	in.census_division	n/a	The U.S. Census Division that the sample is located.
metadata_and_annual	in.census_division_recs	n/a	Census Division as used in RECS 2015 that the sample is located. RECS 2015 splits the Mountain Census Division into north (CO, ID, MT, UT, WY) and south (AZ, NM, NV).
metadata_and_annual	in.census_region	n/a	The U.S. Census Region that the sample is located.
metadata_and_annual	in.city	n/a	The City that the sample is located.
metadata_and_annual	in.clothes_dryer	n/a	The presence, rated efficiency, and fuel type of the clothes dryer in a dwelling unit.
metadata_and_annual	in.clothes_dryer_usage_level	n/a	Clothes dryer energy usage level multiplier.
metadata_and_annual	in.clothes_washer	n/a	Presence and rated efficiency of the clothes washer.
metadata_and_annual	in.clothes_washer_presence	n/a	The presence of a clothes washer in the dwelling unit.
metadata_and_annual	in.clothes_washer_usage_level	n/a	Clothes washer energy usage level multiplier.
metadata_and_annual	in.cooking_range	n/a	Presence and fuel type of the cooking range.
metadata_and_annual	in.cooking_range_usage_level	n/a	Cooking range energy usage level multiplier.
metadata_and_annual	in.cooling_unavailable_days	n/a	Number of days in a year the cooling system is unavailable.
metadata_and_annual	in.cooling_setpoint	n/a	Baseline cooling setpoint with no offset applied.
metadata_and_annual	in.cooling_setpoint_has_offset	n/a	Presence of a cooling setpoint offset.
metadata_and_annual	in.cooling_setpoint_offset_magnitude	n/a	The magnitude of cooling setpoint offset.
metadata_and_annual	in.cooling_setpoint_offset_period	n/a	The period and offset for the dwelling unit’s cooling setpoint. Default for the day is from 9am to 5pm and for the night is 10pm to 7am.
metadata_and_annual	in.corridor	n/a	Type of corridor attached to multi-family units.
metadata_and_annual	in.county	n/a	The U.S. County that the sample is located.
metadata_and_annual	in.county_and_puma	n/a	The GISJOIN identifier for the County and the Public Use Microdata Area that the sample is located.
metadata_and_annual	in.county_metro_status	n/a	The Metro Status of the county that the sample is located, based on MSA and MicroSA.
metadata_and_annual	in.custom_state	n/a	A custom selection of states to be able to have more fine tuned probability distributionin states where we have more data.
metadata_and_annual	in.dehumidifier	n/a	Presence, water removal rate, and humidity setpoint of the dehumidifier.
metadata_and_annual	in.dishwasher	n/a	The presence and rated efficiency of the dishwasher.
metadata_and_annual	in.dishwasher_usage_level	n/a	Dishwasher energy usage level multiplier.
metadata_and_annual	in.door_area	n/a	Area of exterior doors.
metadata_and_annual	in.doors	n/a	Exterior door material and properties.
metadata_and_annual	in.duct_leakage_and_insulation	n/a	Duct insulation and leakage to outside from the portion of ducts in unconditioned spaces.
metadata_and_annual	in.duct_location	n/a	Location of Duct System.
metadata_and_annual	in.eaves	n/a	Depth of roof eaves.
metadata_and_annual	in.electric_panel_service_rating..a	amp	The rating of electric panel in Ampere.
metadata_and_annual	in.electric_panel_service_rating_bin..a	amp	The rating bin of electric panel in Ampere.
metadata_and_annual	in.electric_vehicle_battery	n/a	The type of electric vehicle and battery range in miles.
metadata_and_annual	in.electric_vehicle_charge_at_home	n/a	The percentage a household would or do charge their electric vehicle at home.
metadata_and_annual	in.electric_vehicle_charger	n/a	Type of electric vehicle charger used at the dwelling unit.
metadata_and_annual	in.electric_vehicle_miles_traveled	n/a	The number of miles an electric vehicle is driven in a year if the unit owns an electric vehicle. Because EVs drive less miles/year than ICE, the max value is capped at 22,500 miles/yr and the distribution is shifted to reduce the mean.
metadata_and_annual	in.electric_vehicle_outlet_access	n/a	The unit has an outlet within 20 feet of vehicle parking.
metadata_and_annual	in.electric_vehicle_ownership	n/a	The dwelling unit owns an electric vehicle.
metadata_and_annual	in.energystar_climate_zone_2023	n/a	Climate zones for windows, doors, and skylights per EnergyStar guidelines as of 2023.
metadata_and_annual	in.federal_poverty_level	n/a	Federal poverty level of the household occupying the dwelling unit.
metadata_and_annual	in.generation_and_emissions_assessment_region	n/a	The generation and carbon emissions assessment region that the sample is located in.
metadata_and_annual	in.geometry_attic_type	n/a	The dwelling unit attic type.
metadata_and_annual	in.geometry_building_horizontal_location_mf	n/a	Location of the single-family attached unit horizontally within the building (left, middle, right).
metadata_and_annual	in.geometry_building_horizontal_location_sfa	n/a	Location of the single-family attached unit horizontally within the building (left, middle, right).
metadata_and_annual	in.geometry_building_level_mf	n/a	Location of the multi-family unit vertically within the building (bottom, middle, top).
metadata_and_annual	in.geometry_building_number_units_mf	n/a	The number of dwelling units in the multi-family building.
metadata_and_annual	in.geometry_building_number_units_sfa	n/a	Number of units in the single-family attached building.
metadata_and_annual	in.geometry_building_type_acs	n/a	The building type classification according to the U.S. Census American Community Survey.
metadata_and_annual	in.geometry_building_type_height	n/a	The 2009 U.S. Energy Information Administration Residential Energy Consumption Survey building type with multi-family buildings split out by low-rise, mid-rise, and high-rise.
metadata_and_annual	in.geometry_building_type_recs	n/a	The building type classification according to the U.S. Energy Information Administration Residential Energy Consumption Survey.
metadata_and_annual	in.geometry_floor_area	n/a	The finished floor area of the dwelling unit using bins from 2017-2019 AHS.
metadata_and_annual	in.geometry_floor_area_bin	n/a	The finished floor area of the dwelling unit using bins from the U.S. Energy Information Administration Residential Energy Consumption Survey.
metadata_and_annual	in.geometry_foundation_type	n/a	The type of foundation.
metadata_and_annual	in.geometry_garage	n/a	The size of an attached garage.
metadata_and_annual	in.geometry_space_combination	n/a	Valid combinations of building type, building level mf, attic, foundation, and garage.
metadata_and_annual	in.geometry_stories	n/a	The number of building stories.
metadata_and_annual	in.geometry_stories_low_rise	n/a	Number of building stories for low-rise buildings.
metadata_and_annual	in.geometry_story_bin	n/a	The building has more than 8 or less than 8 stories.
metadata_and_annual	in.geometry_wall_exterior_finish	n/a	Wall siding material and color.
metadata_and_annual	in.geometry_wall_type	n/a	The wall material used for thermal mass calculations of exterior walls.
metadata_and_annual	in.ground_thermal_conductivity	n/a	The thermal conductivity (in Btu/hr-ft-F) of the ground using in foundation and geothermal heat pump heat transfer calculations.
metadata_and_annual	in.has_pv	n/a	The dwelling unit has a rooftop photovoltaic system.
metadata_and_annual	in.heating_fuel	n/a	The primary fuel used for heating the dwelling unit.
metadata_and_annual	in.heating_unavailable_days	n/a	Number of days in a year the heating system is unavailable.
metadata_and_annual	in.heating_setpoint	n/a	Baseline heating setpoint with no offset applied.
metadata_and_annual	in.heating_setpoint_has_offset	n/a	Presence of a heating setpoint offset.
metadata_and_annual	in.heating_setpoint_offset_magnitude	n/a	Magnitude of the heating setpoint offset.
metadata_and_annual	in.heating_setpoint_offset_period	n/a	The period and offset for the dwelling unit’s heating setpoint. Default for the day is from 9am to 5pm and for the night is 10pm to 7am.
metadata_and_annual	in.holiday_lighting	n/a	Use of holiday lighting (not currently modeled separately from other exterior lighting).
metadata_and_annual	in.hot_water_distribution	n/a	Type of distribution system and presence of hot water piping insulation.
metadata_and_annual	in.hot_water_fixtures	n/a	Hot water fixture usage and flow levels.
metadata_and_annual	in.household_has_tribal_persons	n/a	The household occupying the dwelling unit has at least one tribal person in the household.
metadata_and_annual	in.hvac_cooling_autosizing_factor	n/a	The cooling airflow and capacity scaling factor applied to the auto-sizing methodology (not used in baseline models).
metadata_and_annual	in.hvac_cooling_efficiency	n/a	The presence and efficiency of primary cooling system in the dwelling unit.
metadata_and_annual	in.hvac_cooling_partial_space_conditioning	n/a	The fraction of the finished floor area that the cooling system provides cooling.
metadata_and_annual	in.hvac_cooling_type	n/a	The presence and type of primary cooling system in the dwelling unit.
metadata_and_annual	in.hvac_has_ducts	n/a	The presence of ducts in the dwelling unit.
metadata_and_annual	in.hvac_has_shared_system	n/a	The presence of an HVAC system shared between multiple dwelling units.
metadata_and_annual	in.hvac_has_zonal_electric_heating	n/a	Presence of electric baseboard heating.
metadata_and_annual	in.hvac_heating_autosizing_factor	n/a	The heating airflow and capacity scaling factor applied to the auto-sizing methodology (not used).
metadata_and_annual	in.hvac_heating_efficiency	n/a	The presence and efficiency of the primary heating system in the dwelling unit.
metadata_and_annual	in.hvac_heating_type	n/a	The presence and type of the primary heating system in the dwelling unit.
metadata_and_annual	in.hvac_heating_type_and_fuel	n/a	The presence, type, and fuel of primary heating system.
metadata_and_annual	in.hvac_secondary_heating_efficiency	n/a	The efficiency and type of the secondary heating system.
metadata_and_annual	in.hvac_secondary_heating_fuel	n/a	Secondary Heating Fuel for the dwelling unit
metadata_and_annual	in.hvac_secondary_heating_partial_space_conditioning	n/a	The fraction of heating load served by secondary heating system.
metadata_and_annual	in.hvac_secondary_heating_type	n/a	The efficiency and type of the secondary heating system.
metadata_and_annual	in.hvac_shared_efficiencies	n/a	The presence and efficiency of the shared HVAC system.
metadata_and_annual	in.hvac_system_is_faulted	n/a	The presence of the HVAC system having a fault (not used).
metadata_and_annual	in.hvac_system_is_scaled	n/a	Whether the HVAC system has been undersized or oversized (not used).
metadata_and_annual	in.hvac_system_single_speed_ac_airflow	n/a	Single speed central and room air conditioner actual air flow rates.
metadata_and_annual	in.hvac_system_single_speed_ac_charge	n/a	Central and room air conditioner deviation between design/installed charge.
metadata_and_annual	in.hvac_system_single_speed_ashp_airflow	n/a	Single speed air source heat pump actual air flow rates.
metadata_and_annual	in.hvac_system_single_speed_ashp_charge	n/a	Air source heat pump deviation between design/installed charge.
metadata_and_annual	in.income	n/a	Income of the household occupying the dwelling unit.
metadata_and_annual	in.income_recs_2015	n/a	Income of the household occupying the dwelling unit that are aligned with the 2015 U.S. Energy Information Administration Residential Energy Consumption Survey.
metadata_and_annual	in.income_recs_2020	n/a	Income of the household occupying the dwelling unit that are aligned with the 2020 U.S. Energy Information Administration Residential Energy Consumption Survey.
metadata_and_annual	in.infiltration	n/a	Total infiltration to the dwelling unit.
metadata_and_annual	in.insulation_ceiling	n/a	Ceiling insulation level (between the living space and unconditioned attic).
metadata_and_annual	in.insulation_floor	n/a	Floor insulation level.
metadata_and_annual	in.insulation_foundation_wall	n/a	Foundation walls insulation level.
metadata_and_annual	in.insulation_rim_joist	n/a	Insulation level for rim joists.
metadata_and_annual	in.insulation_roof	n/a	Finished roof insulation level.
metadata_and_annual	in.insulation_slab	n/a	Slab insulation level.
metadata_and_annual	in.insulation_wall	n/a	Wall construction type and insulation level.
metadata_and_annual	in.interior_shading	n/a	Type of window interior shading.
metadata_and_annual	in.iso_rto_region	n/a	The independent system operator or regional transmission organization region that the sample is located.
metadata_and_annual	in.lighting	n/a	Qualitative lamp type fractions in each household surveyed are distributed to three options representing 100% incandescent, 100% CFl, and 100% LED lamp type options.
metadata_and_annual	in.lighting_interior_use	n/a	Interior lighting usage relative to the national average.
metadata_and_annual	in.lighting_other_use	n/a	Exterior and garage lighting usage relative to the national average.
metadata_and_annual	in.location_region	n/a	A custom ResStock region constructed of RECS 2009 reportable domains that the sample is located.
metadata_and_annual	in.mechanical_ventilation	n/a	Mechanical ventilation type and efficiency.
metadata_and_annual	in.metropolitan_and_micropolitan_statistical_area	n/a	The U.S. Metropolitan Statistical Area (MSA) or Micropolitan Statistical Area (MicroSA) that the sample is located.
metadata_and_annual	in.misc_extra_refrigerator	n/a	The presence and rated efficiency of the secondary refrigerator.
metadata_and_annual	in.misc_freezer	n/a	The presence and rated efficiency of a standalone freezer.
metadata_and_annual	in.misc_gas_fireplace	n/a	Presence of a gas fireplace.`
metadata_and_annual	in.misc_gas_grill	n/a	Presence of a gas grill.
metadata_and_annual	in.misc_gas_lighting	n/a	Presence of exterior gas lighting.
metadata_and_annual	in.misc_hot_tub_spa	n/a	The presence and heating fuel of a hot tub/spa at the dwelling unit.
metadata_and_annual	in.misc_pool	n/a	The presence of a pool at the dwelling unit.
metadata_and_annual	in.misc_pool_heater	n/a	The heating fuel of the pool heater if there is a pool.
metadata_and_annual	in.misc_pool_pump	n/a	Presence and size of pool pump.
metadata_and_annual	in.misc_well_pump	n/a	Presence of well pump according to the use of well for domestic water source.
metadata_and_annual	in.natural_ventilation	n/a	Schedule of natural ventilation from windows.
metadata_and_annual	in.neighbors	n/a	Presence and distance between the dwelling unit and the nearest neighbors to the left and right.
metadata_and_annual	in.occupants	n/a	The number of occupants living in the dwelling unit.
metadata_and_annual	in.orientation	n/a	Orientation of the front of the dwelling unit as it faces the street.
metadata_and_annual	in.overhangs	n/a	Presence, depth, and location of window overhangs
metadata_and_annual	in.plug_load_diversity	n/a	Plug load diversity multiplier intended to add variation in plug load profiles across all simulations.
metadata_and_annual	in.plug_loads	n/a	Plug load usage level which is varied by Census Division RECS and Building Type RECS.
metadata_and_annual	in.puma	n/a	The Public Use Microdata Area from 2010 U.S. Census that the sample is located.
metadata_and_annual	in.puma_metro_status	n/a	The public use microdata area metropolitan status that the dwelling unit is located.
metadata_and_annual	in.pv_orientation	n/a	The orientation of the photovoltaic system.
metadata_and_annual	in.pv_system_size	n/a	The size of the photovoltaic system.
metadata_and_annual	in.radiant_barrier	n/a	Presence of radiant barrier in the attic (not modeled).
metadata_and_annual	in.range_spot_vent_hour	n/a	Range spot ventilation daily start hour.
metadata_and_annual	in.reeds_balancing_area	n/a	The Regional Energy Deployment System Model (ReEDS) balancing area that the sample is located.
metadata_and_annual	in.refrigerator	n/a	The presence and rated efficiency of the primary refrigerator.
metadata_and_annual	in.refrigerator_usage_level	n/a	Refrigerator energy usage level multiplier.
metadata_and_annual	in.roof_material	n/a	Roof material and color.
metadata_and_annual	in.state	n/a	The U.S. State the sample is located.
metadata_and_annual	in.state_metro_median_income	n/a	State Metro median income of the household occupying the dwelling unit. This is different from State Median Income in that the Income Limits are differentiated by Metro and Nonmetro portions of the state.
metadata_and_annual	in.tenure	n/a	The tenancy (owner or renter) of the household occupying the dwelling unit.
metadata_and_annual	in.usage_level	n/a	Usage of major appliances relative to the national average.
metadata_and_annual	in.vacancy_status	n/a	The vacancy status (occupied or vacant) of the dwelling unit.
metadata_and_annual	in.vintage	n/a	Time period in which the building was constructed.
metadata_and_annual	in.vintage_acs	n/a	Time period in which the dwelling unit was constructed as defined by the U.S. Census American Community Survey.
metadata_and_annual	in.water_heater_efficiency	n/a	The efficiency, type, and heating fuel of water heater.
metadata_and_annual	in.water_heater_fuel	n/a	The water heater fuel type.
metadata_and_annual	in.water_heater_in_unit	n/a	Individual water heater present or not present in the dwelling unit that solely serves the specific dwelling unit.
metadata_and_annual	in.water_heater_location	n/a	location of water heater.
metadata_and_annual	in.window_areas	n/a	Window to wall ratios of the front, back, left, and right walls.
metadata_and_annual	in.windows	n/a	Construction type and efficiency levels of windows.
metadata_and_annual	in.air_leakage_to_outside_ach50	n/a	Total infiltration to the dwelling unit adjusted by ratio of exterior envelope surface area to total envelope surface area.
metadata_and_annual	in.buildstock_csv_path	n/a	Absolute/relative path of the buildstock CSV file. Relative is compared to the 'lib/housing_characteristics' directory.
metadata_and_annual	in.units_represented	n/a	The number of dwelling units this simulation represents. Should always be one.
metadata_and_annual	in.simulation_control_run_period_begin_day_of_month	n/a	This numeric field should contain the starting day of the starting month (must be valid for month) for the annual run period desired.
metadata_and_annual	in.simulation_control_run_period_begin_month	n/a	This numeric field should contain the starting month number (1 = January, 2 = February, etc.) for the annual run period desired.
metadata_and_annual	in.simulation_control_run_period_calendar_year	n/a	This numeric field should contain the calendar year that determines the start day of week. If you are running simulations using AMY weather files, the value entered for calendar year will not be used; it will be overridden by the actual year found in the AMY weather file.
metadata_and_annual	in.simulation_control_run_period_end_day_of_month	n/a	This numeric field should contain the ending day of the ending month (must be valid for month) for the annual run period desired.
metadata_and_annual	in.simulation_control_run_period_end_month	n/a	This numeric field should contain the end month number (1 = January, 2 = February, etc.) for the annual run period desired.
metadata_and_annual	in.simulation_control_timestep	n/a	Value must be a divisor of 60.
metadata_and_annual	in.utility_bill_electricity_fixed_charges	usd	Electricity utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_electricity_marginal_rates	usd	Electricity utility bill marginal rates. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_fuel_oil_fixed_charges	usd	Fuel oil utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_fuel_oil_marginal_rates	usd	Fuel oil utility bill marginal rates. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_natural_gas_fixed_charges	usd	Natural gas utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_natural_gas_marginal_rates	usd	Natural gas utility bill marginal rates. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_propane_fixed_charges	usd	Propane utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_propane_marginal_rates	usd	Propane utility bill marginal rates. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_scenario_names	n/a	Names of utility bill scenarios. If multiple scenarios, use a comma-separated list. If multiple scenarios, use a comma-separated list.
metadata_and_annual	in.utility_bill_simple_filepaths	n/a	Relative paths of simple utility rates. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. Files must contain the name of the Parameter as the column header.
metadata_and_annual	in.weather_file_city	n/a	City from the EPW weather file.
metadata_and_annual	in.weather_file_latitude	n/a	Latitude from the EPW weather file.
metadata_and_annual	in.weather_file_longitude	n/a	Longitude from the EPW weather file.
metadata_and_annual	in.heating_unavailable_period	n/a	Heating unavailable period.
metadata_and_annual	in.cooling_unavailable_period	n/a	Cooling unavailable period.
metadata_and_annual	out.params.door_area..ft2	ft2	Door Area
metadata_and_annual	out.params.duct_unconditioned_surface_area..ft2	ft2	Duct Unconditioned Surface Area
metadata_and_annual	out.params.floor_area_attic..ft2	ft2	Floor Area, Attic
metadata_and_annual	out.params.floor_area_attic_insulation_increase..ft2_delta_r_value	r_value	Floor Area, Attic * Insulation Increase
metadata_and_annual	out.params.floor_area_conditioned_infiltration_reduction..ft2_delta_ach50	ach_50	Floor Area, Conditioned * Infiltration Reduction
metadata_and_annual	out.params.floor_area_foundation..ft2	ft2	Floor Area, Foundation
metadata_and_annual	out.params.floor_area_lighting..ft2	ft2	Floor Area, Lighting
metadata_and_annual	out.params.flow_rate_mechanical_ventilation..cfm	cfm	Flow Rate, Mechanical Ventilation
metadata_and_annual	out.params.rim_joist_area_above_grade_exterior..ft2	ft2	Rim Joist Area, Above-Grade, Exterior
metadata_and_annual	out.params.roof_area..ft2	ft2	Roof Area
metadata_and_annual	out.params.size_cooling_system_primary..kbtu_per_hr	k_btu_h	Size, Cooling System Primary
metadata_and_annual	out.params.size_heat_pump_backup_primary..kbtu_per_hr	k_btu_h	Size, Heat Pump Backup Primary
metadata_and_annual	out.params.size_heating_system_primary..kbtu_per_hr	k_btu_h	Size, Heating System Primary
metadata_and_annual	out.params.size_heating_system_secondary..kbtu_per_hr	k_btu_h	Size, Heating System Secondary
metadata_and_annual	out.params.size_water_heater..gal	gal	Size, Water Heater
