metadata_column	enumeration
applicability	False
applicability	True
in.ahs_region	CBSA Atlanta-Sandy Springs-Roswell, GA
in.ahs_region	CBSA Boston-Cambridge-Newton, MA-NH
in.ahs_region	CBSA Chicago-Naperville-Elgin, IL-IN-WI
in.ahs_region	CBSA Dallas-Fort Worth-Arlington, TX
in.ahs_region	CBSA Detroit-Warren-Dearborn, MI
in.ahs_region	CBSA Houston-The Woodlands-Sugar Land, TX
in.ahs_region	CBSA Los Angeles-Long Beach-Anaheim, CA
in.ahs_region	CBSA Miami-Fort Lauderdale-West Palm Beach, FL
in.ahs_region	CBSA New York-Newark-Jersey City, NY-NJ-PA
in.ahs_region	CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
in.ahs_region	CBSA Phoenix-Mesa-Scottsdale, AZ
in.ahs_region	CBSA Riverside-San Bernardino-Ontario, CA
in.ahs_region	CBSA San Francisco-Oakland-Hayward, CA
in.ahs_region	CBSA Seattle-Tacoma-Bellevue, WA
in.ahs_region	CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV
in.ahs_region	Non-CBSA East North Central
in.ahs_region	Non-CBSA East South Central
in.ahs_region	Non-CBSA Middle Atlantic
in.ahs_region	Non-CBSA Mountain
in.ahs_region	Non-CBSA New England
in.ahs_region	Non-CBSA Pacific
in.ahs_region	Non-CBSA South Atlantic
in.ahs_region	Non-CBSA West North Central
in.ahs_region	Non-CBSA West South Central
in.aiannh_area	No
in.aiannh_area	Yes
in.air_leakage_to_outside_ach50	6
in.air_leakage_to_outside_ach50	7
in.air_leakage_to_outside_ach50	10
in.air_leakage_to_outside_ach50	15
in.air_leakage_to_outside_ach50	20
in.air_leakage_to_outside_ach50	25
in.air_leakage_to_outside_ach50	30
in.air_leakage_to_outside_ach50	40
in.applicable	True
in.area_median_income	0-30%
in.area_median_income	100-120%
in.area_median_income	120-150%
in.area_median_income	150%+
in.area_median_income	30-60%
in.area_median_income	60-80%
in.area_median_income	80-100%
in.area_median_income	Not Available
in.ashrae_iecc_climate_zone_2004	1A
in.ashrae_iecc_climate_zone_2004	2A
in.ashrae_iecc_climate_zone_2004	2B
in.ashrae_iecc_climate_zone_2004	3A
in.ashrae_iecc_climate_zone_2004	3B
in.ashrae_iecc_climate_zone_2004	3C
in.ashrae_iecc_climate_zone_2004	4A
in.ashrae_iecc_climate_zone_2004	4B
in.ashrae_iecc_climate_zone_2004	4C
in.ashrae_iecc_climate_zone_2004	5A
in.ashrae_iecc_climate_zone_2004	5B
in.ashrae_iecc_climate_zone_2004	6A
in.ashrae_iecc_climate_zone_2004	6B
in.ashrae_iecc_climate_zone_2004	7A
in.ashrae_iecc_climate_zone_2004	7AK
in.ashrae_iecc_climate_zone_2004	7B
in.ashrae_iecc_climate_zone_2004	8AK
in.ashrae_iecc_climate_zone_2004_sub_cz_split	1A - FL
in.ashrae_iecc_climate_zone_2004_sub_cz_split	1A - HI
in.ashrae_iecc_climate_zone_2004_sub_cz_split	2A - FL, GA, AL, MS
in.ashrae_iecc_climate_zone_2004_sub_cz_split	2A - TX, LA
in.ashrae_iecc_climate_zone_2004_sub_cz_split	2B
in.ashrae_iecc_climate_zone_2004_sub_cz_split	3A
