Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage	Option=EnergyStar	Option=None	Option=Standard	Option=Void	source_count	source_weight	fallback_count	fallback_weight
None	0-100%	Mobile Home	Not Available	1940s	0	0	0	1	0.109113	175.326	5.51019	11404.4
None	0-100%	Mobile Home	Not Available	1950s	0	0	0	1	0.163669	2251.07	2.78237	20023.8
None	0-100%	Mobile Home	Not Available	1960s	0	0	0	1	0.60012	4675.19	0.60012	4675.19
None	0-100%	Mobile Home	Not Available	1970s	0	0	0	1	0.872901	6423.04	0.872901	6423.04
None	0-100%	Mobile Home	Not Available	1980s	0	0	0	1	0.927458	7654.1	0.927458	7654.1
None	0-100%	Mobile Home	Not Available	1990s	0	0	0	1	0.709232	6361.11	0.709232	6361.11
None	0-100%	Mobile Home	Not Available	2000s	0	0	0	1	0.545563	3461.82	0.545563	3461.82
None	0-100%	Mobile Home	Not Available	2010s	0	0	0	1	0.381894	2925.03	1.36391	6898.83
None	0-100%	Mobile Home	Not Available	<1940	0	0	0	1	0.109113	453.082	5.51019	29471.5
None	0-100%	Mobile Home	Owner	1940s	0	1	0	0	0.0514645	80.1935	2.59896	5216.33
None	0-100%	Mobile Home	Owner	1950s	0	1	0	0	0.0771967	1029.63	1.31234	9158.84
None	0-100%	Mobile Home	Owner	1960s	0	1	0	0	0.283055	2138.42	0.283055	2138.42
None	0-100%	Mobile Home	Owner	1970s	0	1	0	0	0.411716	2937.88	0.411716	2937.88
None	0-100%	Mobile Home	Owner	1980s	0	1	0	0	0.437448	3500.96	0.437448	3500.96
None	0-100%	Mobile Home	Owner	1990s	0	1	0	0	0.334519	2909.55	0.334519	2909.55
None	0-100%	Mobile Home	Owner	2000s	0	1	0	0	0.257322	1583.43	0.257322	1583.43
None	0-100%	Mobile Home	Owner	2010s	0	1	0	0	0.180126	1337.9	0.643306	3155.5
None	0-100%	Mobile Home	Owner	<1940	0	1	0	0	0.0514645	207.238	2.59896	13480.2
None	0-100%	Mobile Home	Renter	1940s	0	1	0	0	0.0106872	18.3696	0.539702	1194.89
None	0-100%	Mobile Home	Renter	1950s	0	1	0	0	0.0160307	235.855	0.272523	2097.98
None	0-100%	Mobile Home	Renter	1960s	0	1	0	0	0.0587794	489.84	0.0587794	489.84
None	0-100%	Mobile Home	Renter	1970s	0	1	0	0	0.0854973	672.97	0.0854973	672.97
None	0-100%	Mobile Home	Renter	1980s	0	1	0	0	0.0908409	801.953	0.0908409	801.953
None	0-100%	Mobile Home	Renter	1990s	0	1	0	0	0.0694666	666.481	0.0694666	666.481
None	0-100%	Mobile Home	Renter	2000s	0	1	0	0	0.0534358	362.71	0.0534358	362.71
None	0-100%	Mobile Home	Renter	2010s	0	1	0	0	0.0374051	306.468	0.13359	722.82
None	0-100%	Mobile Home	Renter	<1940	0	1	0	0	0.0106872	47.4714	0.539702	3087.86
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1940s	0	0	0	1	5.22121	15179.1	5.22121	15179.1
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1950s	0	0	0	1	2.1755	23619.8	2.1755	23619.8
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1960s	0	0	0	1	2.95868	28831.8	2.95868	28831.8
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1970s	0	0	0	1	4.00293	37772.9	4.00293	37772.9
