Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Option=No	Option=Yes	source_count	source_weight	fallback_count	fallback_weight
1A	Mobile Home	0.361913	0.638087	1	16405.8	276	1.15039e+06
1A	Multi-Family with 2 - 4 Units	0.489157	0.510843	23	151857	23	151857
1A	Multi-Family with 5+ Units	0.470559	0.529441	101	847712	101	847712
1A	Single-Family Attached	0.170496	0.829504	46	174890	46	174890
1A	Single-Family Detached	0.403008	0.596992	229	959089	229	959089
2A	Mobile Home	0.601668	0.398332	108	1.21637e+06	108	1.21637e+06
2A	Multi-Family with 2 - 4 Units	0.664959	0.335041	74	788681	74	788681
2A	Multi-Family with 5+ Units	0.569384	0.430616	170	2.478e+06	170	2.478e+06
2A	Single-Family Attached	0.631941	0.368059	93	572759	93	572759
2A	Single-Family Detached	0.561141	0.438859	1014	9.40546e+06	1014	9.40546e+06
2B	Mobile Home	0.744686	0.255314	32	227105	32	227105
2B	Multi-Family with 2 - 4 Units	0.748059	0.251941	16	153560	16	153560
2B	Multi-Family with 5+ Units	0.44723	0.55277	47	394481	47	394481
2B	Single-Family Attached	0.562041	0.437959	40	106481	40	106481
2B	Single-Family Detached	0.545016	0.454984	308	1.62661e+06	308	1.62661e+06
3A	Mobile Home	0.687357	0.312643	194	1.51158e+06	194	1.51158e+06
3A	Multi-Family with 2 - 4 Units	0.712403	0.287597	95	754142	95	754142
3A	Multi-Family with 5+ Units	0.633539	0.366461	194	2.24607e+06	194	2.24607e+06
3A	Single-Family Attached	0.58696	0.41304	149	682824	149	682824
3A	Single-Family Detached	0.616021	0.383979	1528	1.07536e+07	1528	1.07536e+07
3B	Mobile Home	0.629756	0.370244	52	536741	52	536741
3B	Multi-Family with 2 - 4 Units	0.606913	0.393087	64	913267	64	913267
3B	Multi-Family with 5+ Units	0.571608	0.428392	190	2.68795e+06	190	2.68795e+06
3B	Single-Family Attached	0.562397	0.437603	121	783216	121	783216
3B	Single-Family Detached	0.564115	0.435885	717	6.88802e+06	717	6.88802e+06
3C	Mobile Home	0.704489	0.295511	6	53696.3	220	2.08216e+06
3C	Multi-Family with 2 - 4 Units	0.824825	0.175175	19	276243	19	276243
3C	Multi-Family with 5+ Units	0.866709	0.133291	50	696041	50	696041
