Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Cooling Setpoint Has Offset	Dependency=Geometry Building Type RECS	Option=0F	Option=2F	Option=5F	Option=9F	source_count	source_weight	fallback_count	fallback_weight
1A	No	Mobile Home	1	0	0	0	0	0	136	416339
1A	Yes	Mobile Home	0	0.738948	0.16417	0.0968811	1	16405.8	140	734046
1A	No	Multi-Family with 2 - 4 Units	1	0	0	0	12	74282.1	12	74282.1
1A	Yes	Multi-Family with 2 - 4 Units	0	0.730257	0.18633	0.0834128	11	77575.4	11	77575.4
1A	No	Multi-Family with 5+ Units	1	0	0	0	55	398899	55	398899
1A	Yes	Multi-Family with 5+ Units	0	0.747416	0.200817	0.0517676	46	448813	46	448813
1A	No	Single-Family Attached	1	0	0	0	20	29818.2	20	29818.2
1A	Yes	Single-Family Attached	0	0.619494	0.327039	0.0534672	26	145072	26	145072
1A	No	Single-Family Detached	1	0	0	0	116	386521	116	386521
1A	Yes	Single-Family Detached	0	0.761735	0.127608	0.110657	113	572568	113	572568
2A	No	Mobile Home	1	0	0	0	64	731853	64	731853
2A	Yes	Mobile Home	0	0.625674	0.240145	0.134181	44	484521	44	484521
2A	No	Multi-Family with 2 - 4 Units	1	0	0	0	50	524440	50	524440
2A	Yes	Multi-Family with 2 - 4 Units	0	0.714889	0.186967	0.098144	24	264240	24	264240
2A	No	Multi-Family with 5+ Units	1	0	0	0	96	1.41094e+06	96	1.41094e+06
2A	Yes	Multi-Family with 5+ Units	0	0.685374	0.230794	0.0838323	74	1.06707e+06	74	1.06707e+06
2A	No	Single-Family Attached	1	0	0	0	54	361949	54	361949
2A	Yes	Single-Family Attached	0	0.477924	0.322917	0.19916	39	210809	39	210809
2A	No	Single-Family Detached	1	0	0	0	555	5.27779e+06	555	5.27779e+06
2A	Yes	Single-Family Detached	0	0.68199	0.226	0.0920095	459	4.12767e+06	459	4.12767e+06
2B	No	Mobile Home	1	0	0	0	24	169122	24	169122
2B	Yes	Mobile Home	0	0.582907	0.25262	0.164473	8	57983.2	171	844700
2B	No	Multi-Family with 2 - 4 Units	1	0	0	0	12	114872	12	114872
2B	Yes	Multi-Family with 2 - 4 Units	0	0.54816	0.25483	0.19701	4	38688.1	30	256746
2B	No	Multi-Family with 5+ Units	1	0	0	0	21	176424	21	176424
2B	Yes	Multi-Family with 5+ Units	0	0.555926	0.250484	0.193589	26	218058	26	218058
2B	No	Single-Family Attached	1	0	0	0	22	59846.7	22	59846.7
2B	Yes	Single-Family Attached	0	0.663337	0.336663	0	18	46634.4	18	46634.4
