Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Dependency=Vintage	Option=Cooling Only	Option=Heating and Cooling	Option=Heating Only	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	Central AC	Ducted Heat Pump	1940s	0	0	0	0	1	0	0	6	22956.7
Mobile Home	Ducted Heat Pump	Ducted Heat Pump	1940s	0	0	0	1	0	1	1175.14	168	1.37901e+06
Mobile Home	Evaporative or Swamp Cooler	Ducted Heat Pump	1940s	0	0	0	0	1	0	0	2	8312.16
Mobile Home	Non-Ducted Heat Pump	Ducted Heat Pump	1940s	0	0	0	0	1	0	0	10	55467.7
Mobile Home	None	Ducted Heat Pump	1940s	0	0	0	0	1	0	0	10	55467.7
Mobile Home	Room AC	Ducted Heat Pump	1940s	0	0	0	0	1	0	0	10	55467.7
Mobile Home	Central AC	Ducted Heating	1940s	0	0	0	1	0	3	7020.39	301	2.11351e+06
Mobile Home	Ducted Heat Pump	Ducted Heating	1940s	0	0	0	0	1	0	0	6	22956.7
Mobile Home	Evaporative or Swamp Cooler	Ducted Heating	1940s	0	0	0	0	1	0	0	19	82959.9
Mobile Home	Non-Ducted Heat Pump	Ducted Heating	1940s	0	0	0	0	1	0	0	10	55467.7
Mobile Home	None	Ducted Heating	1940s	0	0	0	1	0	2	8796.48	10	55467.7
Mobile Home	Room AC	Ducted Heating	1940s	0	0	0	1	0	0	0	10	55467.7
Mobile Home	Central AC	Non-Ducted Heat Pump	1940s	0	0	0	0	1	0	0	2	13391.7
Mobile Home	Ducted Heat Pump	Non-Ducted Heat Pump	1940s	0	0	0	0	1	0	0	3	28980.7
Mobile Home	Evaporative or Swamp Cooler	Non-Ducted Heat Pump	1940s	0	0	0	0	1	0	0	1	7514.34
Mobile Home	Non-Ducted Heat Pump	Non-Ducted Heat Pump	1940s	0	0	0	1	0	0	0	5	34399.6
Mobile Home	None	Non-Ducted Heat Pump	1940s	0	0	0	0	1	0	0	1	6954.09
Mobile Home	Room AC	Non-Ducted Heat Pump	1940s	0	0	0	0	1	0	0	1	8088.1
Mobile Home	Central AC	Non-Ducted Heating	1940s	0	0	0	1	0	1	1302.51	45	331786
Mobile Home	Ducted Heat Pump	Non-Ducted Heating	1940s	0	0	0	0	1	0	0	3	28980.7
Mobile Home	Evaporative or Swamp Cooler	Non-Ducted Heating	1940s	0	0	0	0	1	0	0	6	28241.8
Mobile Home	Non-Ducted Heat Pump	Non-Ducted Heating	1940s	0	0	0	0	1	1	1352.37	1	4847.19
Mobile Home	None	Non-Ducted Heating	1940s	0	0	0	1	0	0	0	34	210490
Mobile Home	Room AC	Non-Ducted Heating	1940s	0	0	0	1	0	2	6595.61	109	800487
