Dependency=HVAC Heating Efficiency	Dependency=HVAC System Is Scaled	Option=None	Option=40% Oversized	sampling_probability
ASHP, SEER 10, 6.2 HSPF	Yes	1	0	0
ASHP, SEER 13, 7.7 HSPF	Yes	1	0	0
ASHP, SEER 15, 8.5 HSPF	Yes	1	0	0
Electric Baseboard, 100% Efficiency	Yes	1	0	0
Electric Boiler, 100% AFUE	Yes	1	0	0
Electric Furnace, 100% AFUE	Yes	1	0	0
Electric Wall Furnace, 100% AFUE	Yes	1	0	0
Fuel Boiler, 76% AFUE	Yes	1	0	0
Fuel Boiler, 80% AFUE	Yes	1	0	0
Fuel Boiler, 90% AFUE	Yes	1	0	0
Fuel Furnace, 60% AFUE	Yes	0	1	0
Fuel Furnace, 76% AFUE	Yes	0	1	0
Fuel Furnace, 80% AFUE	Yes	0	1	0
Fuel Furnace, 92.5% AFUE	Yes	0	1	0
Fuel Wall/Floor Furnace, 60% AFUE	Yes	1	0	0
Fuel Wall/Floor Furnace, 68% AFUE	Yes	1	0	0
MSHP, SEER 14.5, 8.2 HSPF	Yes	1	0	0
MSHP, SEER 29.3, 14 HSPF	Yes	1	0	0
None	Yes	1	0	0
Shared Heating	Yes	1	0	0
Void	Yes	1	0	0
ASHP, SEER 10, 6.2 HSPF	No	1	0	0.00718157
ASHP, SEER 13, 7.7 HSPF	No	1	0	0.0740898
ASHP, SEER 15, 8.5 HSPF	No	1	0	0.0724829
Electric Baseboard, 100% Efficiency	No	1	0	0.0627811
Electric Boiler, 100% AFUE	No	1	0	0.00205468
Electric Furnace, 100% AFUE	No	1	0	0.113344
Electric Wall Furnace, 100% AFUE	No	1	0	0.0110764
Fuel Boiler, 76% AFUE	No	1	0	0.00827857
Fuel Boiler, 80% AFUE	No	1	0	0.0324115
Fuel Boiler, 90% AFUE	No	1	0	0.00478166
Fuel Furnace, 60% AFUE	No	1	0	0.0049367
Fuel Furnace, 76% AFUE	No	1	0	0.0277047
Fuel Furnace, 80% AFUE	No	1	0	0.247426
Fuel Furnace, 92.5% AFUE	No	1	0	0.153393
Fuel Wall/Floor Furnace, 60% AFUE	No	1	0	0.0321561
Fuel Wall/Floor Furnace, 68% AFUE	No	1	0	0.0285454
MSHP, SEER 14.5, 8.2 HSPF	No	1	0	0.00959737
MSHP, SEER 29.3, 14 HSPF	No	1	0	0.000137902
None	No	1	0	0.0113391
Shared Heating	No	1	0	0.0962815
Void	No	1	0	0
# Created by: manually created
# Description: The heating airflow and capacity scaling factor applied to the auto-sizing methodology (not used in project_national).
# Source: Engineering Judgment
# Assumption: HVAC sizing follows ACCA Manual J and Manual S. There is no additional oversizing or undersizing the airflow and capacity of the HVAC system.
