Dependency=HVAC Cooling Efficiency	Dependency=HVAC System Is Faulted	Option=154.8 cfm/ton	Option=204.4 cfm/ton	Option=254.0 cfm/ton	Option=303.5 cfm/ton	Option=353.1 cfm/ton	Option=402.7 cfm/ton	Option=452.3 cfm/ton	Option=501.9 cfm/ton	Option=551.5 cfm/ton	Option=601.0 cfm/ton	Option=650.6 cfm/ton	Option=700.2 cfm/ton	Option=None	sampling_probability
AC, SEER2 7.6	Yes	0.025424	0.087571	0.144068	0.211864	0.183616	0.152542	0.09887	0.059322	0.014124	0.008475	0.011299	0.002825	0	0
AC, SEER2 9.5	Yes	0.025424	0.087571	0.144068	0.211864	0.183616	0.152542	0.09887	0.059322	0.014124	0.008475	0.011299	0.002825	0	0
AC, SEER2 12.4	Yes	0.025424	0.087571	0.144068	0.211864	0.183616	0.152542	0.09887	0.059322	0.014124	0.008475	0.011299	0.002825	0	0
AC, SEER2 14.3	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Non-Ducted Heat Pump	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ducted Heat Pump	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
None	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Room AC, CEER 8.4	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Room AC, CEER 9.7	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Room AC, CEER 10.6	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Room AC, CEER 11.9	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Shared Cooling	Yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC, SEER2 7.6	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00895125
AC, SEER2 9.5	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0604395
AC, SEER2 12.4	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.299524
AC, SEER2 14.3	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1231
Non-Ducted Heat Pump	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00974977
Ducted Heat Pump	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.153727
None	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.105864
Room AC, CEER 8.4	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00427306
Room AC, CEER 9.7	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0257739
Room AC, CEER 10.6	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.096399
Room AC, CEER 11.9	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0739384
Shared Cooling	No	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03826
# Created by: manually created
# Description: Single speed central and room air conditioner actual air flow rates.
# Source: Winkler et al. 'Impact of installation faults in air conditioners and heat pumps in single-family homes on US energy usage' 2020
