Dependency=HVAC Cooling Efficiency	Dependency=HVAC System Is Faulted	Option=0.570 Charge Frac	Option=0.709 Charge Frac	Option=0.848 Charge Frac	Option=0.988 Charge Frac	Option=1.127 Charge Frac	Option=1.266 Charge Frac	Option=1.405 Charge Frac	Option=None	sampling_probability
AC, SEER2 7.6	Yes	0.038835	0.072816	0.31068	0.276699	0.247573	0.024272	0.029126	0	0
AC, SEER2 9.5	Yes	0.038835	0.072816	0.31068	0.276699	0.247573	0.024272	0.029126	0	0
AC, SEER2 12.4	Yes	0.038835	0.072816	0.31068	0.276699	0.247573	0.024272	0.029126	0	0
AC, SEER2 14.3	Yes	0	0	0	0	0	0	0	1	0
Non-Ducted Heat Pump	Yes	0	0	0	0	0	0	0	1	0
Ducted Heat Pump	Yes	0	0	0	0	0	0	0	1	0
None	Yes	0	0	0	0	0	0	0	1	0
Room AC, CEER 8.4	Yes	0	0	0	0	0	0	0	1	0
Room AC, CEER 9.7	Yes	0	0	0	0	0	0	0	1	0
Room AC, CEER 10.6	Yes	0	0	0	0	0	0	0	1	0
Room AC, CEER 11.9	Yes	0	0	0	0	0	0	0	1	0
Shared Cooling	Yes	0	0	0	0	0	0	0	1	0
AC, SEER2 7.6	No	0	0	0	0	0	0	0	1	0.00895125
AC, SEER2 9.5	No	0	0	0	0	0	0	0	1	0.0604395
AC, SEER2 12.4	No	0	0	0	0	0	0	0	1	0.299524
AC, SEER2 14.3	No	0	0	0	0	0	0	0	1	0.1231
Non-Ducted Heat Pump	No	0	0	0	0	0	0	0	1	0.00974977
Ducted Heat Pump	No	0	0	0	0	0	0	0	1	0.153727
None	No	0	0	0	0	0	0	0	1	0.105864
Room AC, CEER 8.4	No	0	0	0	0	0	0	0	1	0.00427306
Room AC, CEER 9.7	No	0	0	0	0	0	0	0	1	0.0257739
Room AC, CEER 10.6	No	0	0	0	0	0	0	0	1	0.096399
Room AC, CEER 11.9	No	0	0	0	0	0	0	0	1	0.0739384
Shared Cooling	No	0	0	0	0	0	0	0	1	0.03826
# Created by: manually created
# Description: Central and room air conditioner deviation between design/installed charge.
# Source: Winkler et al. 'Impact of installation faults in air conditioners and heat pumps in single-family homes on US energy usage' 2020
