Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Option=No	Option=Yes	source_count	source_weight	fallback_count	fallback_weight
1A	Mobile Home	No	0.884742	0.115258	1	16405.8	269	1.10541e+06
1A	Multi-Family with 2 - 4 Units	No	0.892181	0.107819	23	151857	23	151857
1A	Multi-Family with 5+ Units	No	0.889664	0.110336	98	804378	98	804378
1A	Single-Family Attached	No	0.842326	0.157674	45	173615	45	173615
1A	Single-Family Detached	No	0.890721	0.109279	223	915387	223	915387
1A	Mobile Home	Yes	0.699614	0.300386	0	0	10	88311.3
1A	Multi-Family with 2 - 4 Units	Yes	0.699614	0.300386	0	0	10	88311.3
1A	Multi-Family with 5+ Units	Yes	0.699614	0.300386	3	43333.8	10	88311.3
1A	Single-Family Attached	Yes	0.699614	0.300386	1	1275.11	10	88311.3
1A	Single-Family Detached	Yes	0.699614	0.300386	6	43702.4	10	88311.3
2A	Mobile Home	No	0.645862	0.354138	87	998985	87	998985
2A	Multi-Family with 2 - 4 Units	No	0.741056	0.258944	62	671341	62	671341
2A	Multi-Family with 5+ Units	No	0.708161	0.291839	147	2.14666e+06	147	2.14666e+06
2A	Single-Family Attached	No	0.645407	0.354593	87	530352	87	530352
2A	Single-Family Detached	No	0.619689	0.380311	948	8.78809e+06	948	8.78809e+06
2A	Mobile Home	Yes	0.508206	0.491794	21	217389	21	217389
2A	Multi-Family with 2 - 4 Units	Yes	0.589346	0.410654	12	117340	12	117340
2A	Multi-Family with 5+ Units	Yes	0.652317	0.347683	23	331341	23	331341
2A	Single-Family Attached	Yes	0.532344	0.467656	6	42406.2	93	877160
2A	Single-Family Detached	Yes	0.525738	0.474262	66	617365	66	617365
2B	Mobile Home	No	0.69306	0.30694	27	186594	27	186594
2B	Multi-Family with 2 - 4 Units	No	0.768881	0.231119	14	131609	14	131609
2B	Multi-Family with 5+ Units	No	0.621113	0.378887	39	330828	39	330828
2B	Single-Family Attached	No	0.641068	0.358932	39	103638	39	103638
2B	Single-Family Detached	No	0.599341	0.400659	299	1.56667e+06	299	1.56667e+06
2B	Mobile Home	Yes	0.702769	0.297231	5	40511	15	103295
2B	Multi-Family with 2 - 4 Units	Yes	0.526368	0.473632	2	21950.8	10	85603.7
2B	Multi-Family with 5+ Units	Yes	0.526368	0.473632	8	63652.8	10	85603.7
2B	Single-Family Attached	Yes	0.702769	0.297231	1	2842.97	15	103295
2B	Single-Family Detached	Yes	0.702769	0.297231	9	59940.7	15	103295
3A	Mobile Home	No	0.688114	0.311886	171	1.34078e+06	171	1.34078e+06
3A	Multi-Family with 2 - 4 Units	No	0.703477	0.296523	83	648447	83	648447
3A	Multi-Family with 5+ Units	No	0.566996	0.433004	160	1.85152e+06	160	1.85152e+06
3A	Single-Family Attached	No	0.565404	0.434596	141	647467	141	647467
3A	Single-Family Detached	No	0.577209	0.422791	1471	1.03238e+07	1471	1.03238e+07
