Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=0F	Option=3F	Option=6F	Option=12F	source_count	source_weight	fallback_count	fallback_weight
1A	Mobile Home	No	No	1	0	0	0	1	16405.8	256	978001
1A	Mobile Home	Yes	No	0	0.915674	0.0738632	0.0104627	0	0	13	127407
1A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	21	135484	21	135484
1A	Multi-Family with 2 - 4 Units	Yes	No	0	0.651225	0.283137	0.0656382	2	16373.1	66	905443
1A	Multi-Family with 5+ Units	No	No	1	0	0	0	92	715626	92	715626
1A	Multi-Family with 5+ Units	Yes	No	0	0.651225	0.283137	0.0656382	6	88751.7	66	905443
1A	Single-Family Attached	No	No	1	0	0	0	42	146241	42	146241
1A	Single-Family Attached	Yes	No	0	0.915674	0.0738632	0.0104627	3	27374.6	13	127407
1A	Single-Family Detached	No	No	1	0	0	0	213	815354	213	815354
1A	Single-Family Detached	Yes	No	0	0.96587	0.0208047	0.0133258	10	100033	10	100033
1A	Mobile Home	No	Yes	1	0	0	0	0	0	54	485401
1A	Mobile Home	Yes	Yes	0	0.599361	0.217245	0.183394	0	0	46	436736
1A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	0	0	25	328627
1A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.77356	0.22644	0	0	0	13	163388
1A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	3	43333.8	25	328627
1A	Multi-Family with 5+ Units	Yes	Yes	0	0.77356	0.22644	0	0	0	13	163388
1A	Single-Family Attached	No	Yes	1	0	0	0	0	0	54	485401
1A	Single-Family Attached	Yes	Yes	0	0.599361	0.217245	0.183394	1	1275.11	46	436736
1A	Single-Family Detached	No	Yes	1	0	0	0	3	18450	54	485401
1A	Single-Family Detached	Yes	Yes	0	0.599361	0.217245	0.183394	3	25252.4	46	436736
2A	Mobile Home	No	No	1	0	0	0	54	645207	54	645207
2A	Mobile Home	Yes	No	0	0.761982	0.194838	0.04318	33	353778	33	353778
2A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	47	497501	47	497501
2A	Multi-Family with 2 - 4 Units	Yes	No	0	0.712428	0.203005	0.0845663	15	173839	15	173839
2A	Multi-Family with 5+ Units	No	No	1	0	0	0	104	1.52018e+06	104	1.52018e+06
2A	Multi-Family with 5+ Units	Yes	No	0	0.582243	0.346357	0.0714002	43	626479	43	626479
2A	Single-Family Attached	No	No	1	0	0	0	51	342293	51	342293
2A	Single-Family Attached	Yes	No	0	0.587137	0.28355	0.129314	36	188059	36	188059
2A	Single-Family Detached	No	No	1	0	0	0	577	5.44588e+06	577	5.44588e+06
2A	Single-Family Detached	Yes	No	0	0.770612	0.182937	0.0464512	371	3.34221e+06	371	3.34221e+06
2A	Mobile Home	No	Yes	1	0	0	0	11	110478	11	110478
2A	Mobile Home	Yes	Yes	0	0.540078	0.21738	0.242541	10	106911	10	106911
2A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	7	69153.8	22	285293
2A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.77356	0.22644	0	5	48186.2	13	163388
2A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	15	216140	15	216140
2A	Multi-Family with 5+ Units	Yes	Yes	0	0.77356	0.22644	0	8	115202	13	163388
2A	Single-Family Attached	No	Yes	1	0	0	0	5	31900.9	51	466951
2A	Single-Family Attached	Yes	Yes	0	0.608146	0.20303	0.188825	1	10505.3	42	410209
2A	Single-Family Detached	No	Yes	1	0	0	0	35	324572	35	324572
2A	Single-Family Detached	Yes	Yes	0	0.61894	0.205074	0.175986	31	292793	31	292793
2B	Mobile Home	No	No	1	0	0	0	18	129321	18	129321
2B	Mobile Home	Yes	No	0	0.666182	0.246058	0.0877601	9	57273.3	146	722174
2B	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	11	101192	11	101192
2B	Multi-Family with 2 - 4 Units	Yes	No	0	0.450067	0.384547	0.165386	3	30417.4	17	155764
2B	Multi-Family with 5+ Units	No	No	1	0	0	0	25	205482	25	205482
2B	Multi-Family with 5+ Units	Yes	No	0	0.47307	0.407622	0.119308	14	125347	14	125347
2B	Single-Family Attached	No	No	1	0	0	0	25	66439.1	25	66439.1
2B	Single-Family Attached	Yes	No	0	0.55442	0.314072	0.131509	14	37199	14	37199
2B	Single-Family Detached	No	No	1	0	0	0	176	938971	176	938971
2B	Single-Family Detached	Yes	No	0	0.688635	0.224512	0.0868537	123	627702	123	627702
2B	Mobile Home	No	Yes	1	0	0	0	3	26773.2	10	72592.2
2B	Mobile Home	Yes	Yes	0	0.338033	0.337046	0.324921	2	13737.7	26	250192
2B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	0	0	20	241475
2B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.576076	0.164767	0.259157	2	21950.8	39	565167
2B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	6	45059.1	20	241475
2B	Multi-Family with 5+ Units	Yes	Yes	0	0.576076	0.164767	0.259157	2	18593.8	39	565167
2B	Single-Family Attached	No	Yes	1	0	0	0	0	0	10	72592.2
2B	Single-Family Attached	Yes	Yes	0	0.338033	0.337046	0.324921	1	2842.97	26	250192
2B	Single-Family Detached	No	Yes	1	0	0	0	7	45819	10	72592.2
2B	Single-Family Detached	Yes	Yes	0	0.338033	0.337046	0.324921	2	14121.7	26	250192
3A	Mobile Home	No	No	1	0	0	0	114	922612	114	922612
3A	Mobile Home	Yes	No	0	0.641582	0.158197	0.200221	57	418171	57	418171
3A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	59	456167	59	456167
3A	Multi-Family with 2 - 4 Units	Yes	No	0	0.384321	0.122219	0.49346	24	192280	24	192280
3A	Multi-Family with 5+ Units	No	No	1	0	0	0	92	1.0498e+06	92	1.0498e+06
3A	Multi-Family with 5+ Units	Yes	No	0	0.66237	0.189017	0.148613	68	801717	68	801717
3A	Single-Family Attached	No	No	1	0	0	0	84	366080	84	366080
3A	Single-Family Attached	Yes	No	0	0.810772	0.156657	0.0325704	57	281386	57	281386
3A	Single-Family Detached	No	No	1	0	0	0	834	5.95898e+06	834	5.95898e+06
3A	Single-Family Detached	Yes	No	0	0.725458	0.208209	0.0663329	637	4.3648e+06	637	4.3648e+06
3A	Mobile Home	No	Yes	1	0	0	0	10	81602.2	10	81602.2
3A	Mobile Home	Yes	Yes	0	0.380768	0.327662	0.29157	13	89192.8	13	89192.8
3A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	7	55843.8	24	242993
3A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.539822	0.1404	0.319778	5	49851.1	22	257254
3A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	17	187149	17	187149
3A	Multi-Family with 5+ Units	Yes	Yes	0	0.529252	0.127628	0.34312	17	207403	17	207403
3A	Single-Family Attached	No	Yes	1	0	0	0	8	35357	49	344564
3A	Single-Family Attached	Yes	Yes	0	0.346366	0.275877	0.377756	0	0	39	291371
3A	Single-Family Detached	No	Yes	1	0	0	0	31	227605	31	227605
3A	Single-Family Detached	Yes	Yes	0	0.33119	0.253032	0.415778	26	202178	26	202178
