Dependency=ASHRAE IECC Climate Zone 2004 - Sub-CZ Split	Dependency=Usage Level	Option=50% Usage	Option=60% Usage	Option=70% Usage	Option=80% Usage	Option=90% Usage	Option=100% Usage	Option=110% Usage	Option=120% Usage	Option=130% Usage	Option=140% Usage	Option=150% Usage	Option=160% Usage	Option=170% Usage	Option=180% Usage	Option=190% Usage	Option=200% Usage	source_count	source_weight	sampling_probability
1A - HI	Low	0.000898934	0.0103265	0.0517541	0.149565	0.294621	0.440159	0.0526756	0	0	0	0	0	0	0	0	0	1700	1700	0.000988938
1A - HI	Medium	0	0	0	0	0	0	0.241497	0.27903	0.257855	0.216959	0.00465882	0	0	0	0	0	1700	1700	0.00197788
1A - HI	High	0	0	0	0	0	0	0	0	0	0	0.329682	0.249619	0.175259	0.118405	0.0775352	0.0494988	1700	1700	0.000988938
1A - HI	Average	0	0	0	0	0	0	0.241497	0.27903	0.257855	0.216959	0.00465882	0	0	0	0	0	1700	1700	0
1A - FL	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00349613
1A - FL	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.00699227
1A - FL	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00349613
1A - FL	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
2A - FL, GA, AL, MS	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.0154642
2A - FL, GA, AL, MS	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.0309283
2A - FL, GA, AL, MS	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.0154642
2A - FL, GA, AL, MS	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
2A - TX, LA	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.0135196
2A - TX, LA	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.0270392
2A - TX, LA	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.0135196
2A - TX, LA	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
2B	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00493585
2B	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.00987169
2B	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00493585
2B	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
3A	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.0332625
3A	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.066525
3A	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.0332625
3A	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
3B	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.0232281
3B	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.0464562
3B	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.0232281
3B	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
3C	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00586112
3C	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.0117222
3C	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00586112
3C	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
4A	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.0538255
4A	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.107651
4A	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.0538255
4A	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
4B	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00193267
4B	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.00386535
4B	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00193267
4B	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
4C	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00720007
