Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Tenure	Option=Electricity	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Void	source_count	source_weight	fallback_count	fallback_weight
0-100%	Mobile Home	Electricity	AK	Not Available	0	0	0	0	1	1.49199e-17	1.5395e-17	1.10067	759.263
0-100%	Mobile Home	Electricity	AK	Owner	0	0	1	0	0	7.84419e-18	8.34068e-18	0.50039	348.408
0-100%	Mobile Home	Electricity	AK	Renter	0	0	1	0	0	1.12514e-18	1.0725e-18	0.111079	75.4664
0-100%	Mobile Home	Electricity	AL	Not Available	0	0	0	0	1	2.81295	21136.2	1.95278	17277.1
0-100%	Mobile Home	Electricity	AL	Owner	0.0501722	0	0.949828	0	0	1.22587	8492.72	0.851013	6942.1
0-100%	Mobile Home	Electricity	AL	Renter	0	0	1	0	0	0.321833	2833.11	0.893679	5887.44
0-100%	Mobile Home	Electricity	AR	Not Available	0	0	0	0	1	0.946368	4601.63	2.98222	21417.5
0-100%	Mobile Home	Electricity	AR	Owner	0	0	1	0	0	0.0730014	194.711	0.408967	2969.2
0-100%	Mobile Home	Electricity	AR	Renter	0	0	1	0	0	0.469811	2903.2	0.78959	5546.62
0-100%	Mobile Home	Electricity	AZ	Not Available	0	0	0	0	1	0.734081	4839.32	0.631429	4365.91
0-100%	Mobile Home	Electricity	AZ	Owner	0	0	1	0	0	0.39046	2434.04	0.783671	4149.02
0-100%	Mobile Home	Electricity	AZ	Renter	0	0	1	0	0	0.0533668	409.222	0.413137	2012.88
0-100%	Mobile Home	Electricity	CA	Not Available	0	0	0	0	1	0.173434	2132.36	0.775917	6099.78
0-100%	Mobile Home	Electricity	CA	Owner	0	0	1	0	0	0.103694	1191.02	1.10179	6220.39
0-100%	Mobile Home	Electricity	CA	Renter	0.0677357	0	0.932264	0	0	0.00876332	136.103	1.01935	6039.65
0-100%	Mobile Home	Electricity	CO	Not Available	0	0	0	0	1	0.0283911	136.012	1.48779	2428.99
0-100%	Mobile Home	Electricity	CO	Owner	0.188052	0	0.811948	0	0	0.0174119	79.9325	0.718124	1236.54
0-100%	Mobile Home	Electricity	CO	Renter	0	0	1	0	0	0.00132525	7.40878	0.128606	190.447
0-100%	Mobile Home	Electricity	CT	Not Available	0	0	0	0	1	6.43845e-54	1.16069e-57	2.55652e-20	6.62029e-17
0-100%	Mobile Home	Electricity	CT	Owner	0	0	1	0	0	6.43845e-54	1.16069e-57	2.21565e-20	6.02246e-17
0-100%	Mobile Home	Electricity	CT	Renter	0	0	1	0	0	6.43845e-54	1.16069e-57	2.55652e-20	8.68681e-17
0-100%	Mobile Home	Electricity	DC	Not Available	0	0	0	0	1	4.7619e-18	4.7619e-18	9.78878	115915
0-100%	Mobile Home	Electricity	DC	Owner	0.0297282	0	0.970272	0	0	4.7619e-18	4.7619e-18	6.36271	72706.3
0-100%	Mobile Home	Electricity	DC	Renter	0.0815365	0	0.918463	0	0	4.7619e-18	4.7619e-18	3.42607	43208.7
