Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=Has Pool	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
0-100%	Mobile Home	AK	Not Available	1940s	0	0	1	0	0	152	969865
0-100%	Mobile Home	AK	Owner	1940s	0.0668131	0.933187	0	0	0	108	677186
0-100%	Mobile Home	AK	Renter	1940s	0	1	0	0	0	44	292679
100-150%	Mobile Home	AK	Not Available	1940s	0	0	1	0	0	152	969865
100-150%	Mobile Home	AK	Owner	1940s	0.0668131	0.933187	0	0	0	108	677186
100-150%	Mobile Home	AK	Renter	1940s	0	1	0	0	0	44	292679
150-200%	Mobile Home	AK	Not Available	1940s	0	0	1	0	0	152	969865
150-200%	Mobile Home	AK	Owner	1940s	0.0668131	0.933187	0	0	0	108	677186
150-200%	Mobile Home	AK	Renter	1940s	0	1	0	0	0	44	292679
200-300%	Mobile Home	AK	Not Available	1940s	0	0	1	0	0	202	994405
200-300%	Mobile Home	AK	Owner	1940s	0.0728987	0.927101	0	0	0	165	788073
200-300%	Mobile Home	AK	Renter	1940s	0	1	0	0	0	37	206333
300-400%	Mobile Home	AK	Not Available	1940s	0	0	1	0	0	202	994405
300-400%	Mobile Home	AK	Owner	1940s	0.0728987	0.927101	0	0	0	165	788073
300-400%	Mobile Home	AK	Renter	1940s	0	1	0	0	0	37	206333
400%+	Mobile Home	AK	Not Available	1940s	0	0	1	0	0	235	1.71383e+06
400%+	Mobile Home	AK	Owner	1940s	0.0874179	0.912582	0	0	0	206	1.50471e+06
400%+	Mobile Home	AK	Renter	1940s	0	1	0	0	0	29	209114
Not Available	Mobile Home	AK	Not Available	1940s	0	1	0	0	0	17	9583.86
Not Available	Mobile Home	AK	Owner	1940s	0	0	1	0	0	16	9210.7
Not Available	Mobile Home	AK	Renter	1940s	0	0	1	0	0	80	708126
0-100%	Mobile Home	AK	Not Available	1950s	0	0	1	0	0	152	969865
0-100%	Mobile Home	AK	Owner	1950s	0.0668131	0.933187	0	0	0	108	677186
0-100%	Mobile Home	AK	Renter	1950s	0	1	0	0	0	44	292679
100-150%	Mobile Home	AK	Not Available	1950s	0	0	1	1	272.238	152	969865
100-150%	Mobile Home	AK	Owner	1950s	0.0668131	0.933187	0	1	272.238	108	677186
100-150%	Mobile Home	AK	Renter	1950s	0	1	0	0	0	44	292679
150-200%	Mobile Home	AK	Not Available	1950s	0	0	1	1	530.664	152	969865
150-200%	Mobile Home	AK	Owner	1950s	0.0668131	0.933187	0	1	530.664	108	677186
150-200%	Mobile Home	AK	Renter	1950s	0	1	0	0	0	44	292679
200-300%	Mobile Home	AK	Not Available	1950s	0	0	1	0	0	202	994405
200-300%	Mobile Home	AK	Owner	1950s	0.0728987	0.927101	0	0	0	165	788073
200-300%	Mobile Home	AK	Renter	1950s	0	1	0	0	0	37	206333
300-400%	Mobile Home	AK	Not Available	1950s	0	0	1	0	0	202	994405
300-400%	Mobile Home	AK	Owner	1950s	0.0728987	0.927101	0	0	0	165	788073
300-400%	Mobile Home	AK	Renter	1950s	0	1	0	0	0	37	206333
400%+	Mobile Home	AK	Not Available	1950s	0	0	1	0	0	235	1.71383e+06
400%+	Mobile Home	AK	Owner	1950s	0.0874179	0.912582	0	0	0	206	1.50471e+06
400%+	Mobile Home	AK	Renter	1950s	0	1	0	0	0	29	209114
Not Available	Mobile Home	AK	Not Available	1950s	0	1	0	1	802.902	17	9583.86
Not Available	Mobile Home	AK	Owner	1950s	0	0	1	1	802.902	16	9210.7
Not Available	Mobile Home	AK	Renter	1950s	0	0	1	0	0	80	708126
0-100%	Mobile Home	AK	Not Available	1960s	0	0	1	0	0	31	15769.8
0-100%	Mobile Home	AK	Owner	1960s	0	1	0	0	0	26	13088.7
0-100%	Mobile Home	AK	Renter	1960s	0.0250525	0.974947	0	0	0	51	329524
100-150%	Mobile Home	AK	Not Available	1960s	0	0	1	0	0	31	15769.8
100-150%	Mobile Home	AK	Owner	1960s	0	1	0	0	0	26	13088.7
100-150%	Mobile Home	AK	Renter	1960s	0.0250525	0.974947	0	0	0	51	329524
150-200%	Mobile Home	AK	Not Available	1960s	0	0	1	0	0	31	15769.8
150-200%	Mobile Home	AK	Owner	1960s	0	1	0	0	0	26	13088.7
150-200%	Mobile Home	AK	Renter	1960s	0.0250525	0.974947	0	0	0	51	329524
200-300%	Mobile Home	AK	Not Available	1960s	0	0	1	0	0	42	16105
200-300%	Mobile Home	AK	Owner	1960s	0	1	0	0	0	30	11208.3
200-300%	Mobile Home	AK	Renter	1960s	0	1	0	0	0	12	4896.7
300-400%	Mobile Home	AK	Not Available	1960s	0	0	1	0	0	42	16105
300-400%	Mobile Home	AK	Owner	1960s	0	1	0	0	0	30	11208.3
300-400%	Mobile Home	AK	Renter	1960s	0	1	0	0	0	12	4896.7
400%+	Mobile Home	AK	Not Available	1960s	0	0	1	0	0	35	23403.5
400%+	Mobile Home	AK	Owner	1960s	0	1	0	0	0	28	19396.9
400%+	Mobile Home	AK	Renter	1960s	0.125875	0.874125	0	0	0	46	225413
Not Available	Mobile Home	AK	Not Available	1960s	0	1	0	0	0	12	9861.18
Not Available	Mobile Home	AK	Owner	1960s	0	0	1	0	0	10	8435
Not Available	Mobile Home	AK	Renter	1960s	0	0	1	0	0	16	11584.4
0-100%	Mobile Home	AK	Not Available	1970s	0	0	1	5	4598.49	28	13790.5
0-100%	Mobile Home	AK	Owner	1970s	0	1	0	3	2797.25	23	11109.4
0-100%	Mobile Home	AK	Renter	1970s	0.0250525	0.974947	0	2	1801.24	51	329524
100-150%	Mobile Home	AK	Not Available	1970s	0	0	1	0	0	19	7067.42
100-150%	Mobile Home	AK	Owner	1970s	0	1	0	0	0	17	6766.06
100-150%	Mobile Home	AK	Renter	1970s	0.0250525	0.974947	0	0	0	51	329524
150-200%	Mobile Home	AK	Not Available	1970s	0	0	1	1	20.1907	11	2070.89
150-200%	Mobile Home	AK	Owner	1970s	0	1	0	1	20.1907	17	6766.06
150-200%	Mobile Home	AK	Renter	1970s	0.0250525	0.974947	0	0	0	51	329524
200-300%	Mobile Home	AK	Not Available	1970s	0	0	1	2	1347.56	13	5968.45
200-300%	Mobile Home	AK	Owner	1970s	0	1	0	2	1347.56	24	9664.09
200-300%	Mobile Home	AK	Renter	1970s	0	1	0	0	0	11	4001.24
300-400%	Mobile Home	AK	Not Available	1970s	0	0	1	2	1543.82	22	7696.88
300-400%	Mobile Home	AK	Owner	1970s	0	1	0	2	1543.82	15	5888.63
300-400%	Mobile Home	AK	Renter	1970s	0	1	0	0	0	11	4001.24
400%+	Mobile Home	AK	Not Available	1970s	0	0	1	0	0	27	17961.3
400%+	Mobile Home	AK	Owner	1970s	0	1	0	0	0	21	14485.5
400%+	Mobile Home	AK	Renter	1970s	0.125875	0.874125	0	0	0	46	225413
Not Available	Mobile Home	AK	Not Available	1970s	0	1	0	8	7510.05	58	45417.2
Not Available	Mobile Home	AK	Owner	1970s	0	0	1	6	5708.82	44	35258.9
Not Available	Mobile Home	AK	Renter	1970s	0	0	1	2	1801.24	14	10158.2
0-100%	Mobile Home	AK	Not Available	1980s	0	0	1	1	1281.42	23	12247.3
0-100%	Mobile Home	AK	Owner	1980s	0	1	0	1	1281.42	20	10879.9
0-100%	Mobile Home	AK	Renter	1980s	0.0905589	0.909441	0	0	0	48	235229
100-150%	Mobile Home	AK	Not Available	1980s	0	0	1	0	0	18	8291.39
100-150%	Mobile Home	AK	Owner	1980s	0	1	0	0	0	17	8092.2
100-150%	Mobile Home	AK	Renter	1980s	0.0905589	0.909441	0	0	0	48	235229
150-200%	Mobile Home	AK	Not Available	1980s	0	0	1	0	0	10	4687.82
150-200%	Mobile Home	AK	Owner	1980s	0	1	0	0	0	17	8092.2
150-200%	Mobile Home	AK	Renter	1980s	0.0905589	0.909441	0	0	0	48	235229
200-300%	Mobile Home	AK	Not Available	1980s	0	0	1	0	0	14	4540.49
200-300%	Mobile Home	AK	Owner	1980s	0	1	0	0	0	12	3567.39
200-300%	Mobile Home	AK	Renter	1980s	0	1	0	0	0	40	146065
300-400%	Mobile Home	AK	Not Available	1980s	0	0	1	0	0	29	10078.2
