Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - Sub-CZ Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle Battery,Electric Vehicle Miles Traveled,Energystar Climate Zone 2023,Ground Thermal Conductivity,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Metropolitan and Micropolitan Statistical Area,County Metro Status,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Natural Ventilation,Orientation,Overhangs,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Generation And Emissions Assessment Region,Radiant Barrier,Range Spot Vent Hour,State,Census Division,Census Division RECS,Census Region,Custom State,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,HVAC Secondary Heating Fuel,HVAC Secondary Heating Type,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Cooling Autosizing Factor,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Geometry Space Combination,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Misc Well Pump,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Cooling Unavailable Days,Dishwasher,Electric Vehicle Charge At Home,Electric Vehicle Ownership,Electric Vehicle Charger,Electric Vehicle Outlet Access,Heating Unavailable Days,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,State Metro Median Income,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Water Heater Location,Window Areas,Windows
4,3A,Hour9,"G3701670, G37003300",No,None,In another census Place,"NC, Stanly County",Non-CBSA South Atlantic,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",15000,South-Central,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Albemarle, NC MicroSA",Non-Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Southwest,None,"NC, 03300",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,Not/partially in metro area,97,SRVCc,No,Hour9,NC,South Atlantic,South Atlantic,South,Others,100% LED,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,1970s,Electricity,Ducted Heat Pump,None,None,None,0%,1960-79,Slab,Ducted Heat Pump,65F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 15, 8.5 HSPF",No,None,Electricity ASHP,None,None,None,None,None,68F,Yes,3F,Night +5h,50000-59999,40000-59999,40000-59999,500-749,4,0-1499,1,None,None,None,Single-Family Detached,1,None,1 Car,"Single-Family Detached, Slab, No Attic, 1 Car Garage",Garage,"20% Leakage to Outside, R-4",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,30 ACH50,None,None,None,None,"Finished, R-13",Uninsulated,"Wood Stud, Uninsulated",None,3,80-100%,200-300%,Yes,Electric,Standard,Electric Resistance,Never,None,100%,No,None,Yes,Never,No,EF 17.6,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",100-120%,Electricity,Electric Standard,Yes,Garage,F12 B12 L12 R12,"Single, Clear, Non-metal"
93,5B,Hour21,"G0801010, G08000700",No,None,"CO, Pueblo","CO, Pueblo County",Non-CBSA Mountain,5B,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",5000,Northern,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Pueblo, CO MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,None,"CO, 00700",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",34,RMPAc,No,Hour16,CO,Mountain,Mountain North,West,Others,100% LED,CR05,91%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,1940s,Natural Gas,Ducted Heating,None,None,None,0%,1940-59,Heated Basement,Central AC,72F,None,"AC, SEER 13",None,Yes,"Fuel Furnace, 92.5% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,67F,Yes,3F,Night,10000-14999,<20000,<20000,750-999,2,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Heated Basement, Vented Attic, No Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Stucco, Light",100% Conditioned,20 ACH50,R-13,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",Typical Efficiency,1,0-30%,100-150%,Yes,Electric,EnergyStar,Electric Resistance,Never,None,60-79%,No,None,No,Never,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,Composition Shingles,0-30%,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F9 B9 L9 R9,"Double, Clear, Non-metal, Air"
265,2B,Hour21,"G0400270, G04000700",No,None,"AZ, Yuma","AZ, Yuma County",Non-CBSA Mountain,2B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",7000,Southern,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Yuma, AZ MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,None,"AZ, 00700",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Day Setup -3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",28,AZNMc,No,Hour17,AZ,Mountain,Mountain South,West,Others,100% LED,CR10,84%,Low,80% Usage,80% Usage,80% Usage,80% Usage,70% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Electricity,Non-Ducted Heat Pump,None,None,None,0%,1940-59,Vented Crawlspace,Non-Ducted Heat Pump,80F,None,Non-Ducted Heat Pump,None,No,"MSHP, SEER 14.5, 8.2 HSPF",No,None,Electricity MSHP,None,None,None,None,None,72F,No,0F,None,50000-59999,40000-59999,40000-59999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage",None,None,<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,15 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",None,3,120-150%,200-300%,Yes,Electric,Standard,Electric Resistance,Never,None,60-79%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,120-150%,Electricity,Electric Standard,Yes,Living Space,F12 B12 L12 R12,"Single, Clear, Metal"
311,5B,Hour3,"G0800410, G08004103",No,None,"CO, Colorado Springs","CO, El Paso County",Non-CBSA Mountain,5B,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",5000,Northern,1.1,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Colorado Springs, CO MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Northeast,None,"CO, 04103",3 or 4 Unit,None,None,Multi-Family with 2 - 4 Units,No,0F,None,Double-Loaded Interior,12,"In metro area, principal city",34,RMPAc,None,Hour15,CO,Mountain,Mountain North,West,Others,100% Incandescent,CR05,96%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,110% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Renter,1970s,Electricity,Non-Ducted Heating,None,None,None,0%,1960-79,Slab,Room AC,65F,Heating Only,"Room AC, EER 12.0",None,No,Shared Heating,No,None,Electricity Shared Heating,"Boiler Baseboards Heating Only, Electricity",None,None,None,None,75F,No,0F,None,25000-29999,20000-39999,20000-39999,750-999,2,0-1499,2,Bottom,4,Left,Multi-Family with 2 - 4 Units,2,None,None,"Multi-Family with 2 - 4 Units Bottom Unit, Slab, No Attic, No Garage",None,None,<8,Wood Frame,"Wood, Medium/Dark",60% Conditioned,7 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Wood Stud, R-7",None,2,30-60%,150-200%,Yes,Electric,Standard,Electric Resistance,Never,None,80-99%,No,None,No,Never,No,EF 19.9,"EF 12, National Average",None,None,None,None,EF 17.6,Composition Shingles,30-60%,Electricity,Electric Standard,No,Conditioned Mechanical Room,F9 B9 L9 R9,"Double, Clear, Metal, Air"
452,2B,Hour21,"G0400130, G04000117",No,None,"AZ, Phoenix","AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",19000,Southern,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Phoenix-Mesa-Scottsdale, AZ MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,None,"AZ, 00117",10 to 19 Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,7,"In metro area, principal city",28,AZNMc,None,Hour18,AZ,Mountain,Mountain South,West,Others,100% Incandescent,CR10,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,130% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,1970s,Electricity,Ducted Heating,None,None,None,0%,1960-79,Slab,Central AC,80F,Heating Only,"AC, SEER 13",None,Yes,Shared Heating,No,None,Electricity Shared Heating,"Boiler Baseboards Heating Only, Electricity",None,None,None,None,76F,No,0F,None,<10000,<20000,<20000,1000-1499,2,0-1499,2,Bottom,12,Middle,"Multi-Family with 5+ Units, 1-3 Stories",2,None,None,"Multi-Family with 5+ Units Bottom Unit, Slab, No Attic, No Garage",Living Space,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,6 ACH50,None,None,None,None,"Finished, R-19",Uninsulated,"Wood Stud, R-7",None,3,0-30%,0-100%,None,None,None,Electric Resistance,Never,None,100%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",0-30%,Natural Gas,Natural Gas Premium,Yes,Living Space,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
512,2B,Hour12,"G0400190, G04000202",No,None,"AZ, Tucson","AZ, Pima County",Non-CBSA Mountain,2B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",11000,Southern,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Tucson, AZ MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,None,"AZ, 00202",Single-Family Attached,20,Middle,Single-Family Attached,No,0F,None,Not Applicable,12,"In metro area, not/partially in principal city",30,AZNMc,No,Hour13,AZ,Mountain,Mountain South,West,Others,100% Incandescent,CR10,103%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,110% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1970s,Electricity,Ducted Heating,None,None,None,0%,1960-79,Slab,Central AC,72F,None,"AC, SEER 15",None,Yes,"Electric Furnace, 100% AFUE",No,None,Electricity Electric Furnace,None,None,None,None,None,68F,No,0F,None,20000-24999,20000-39999,20000-39999,1000-1499,3,0-1499,2,None,None,None,Single-Family Attached,2,None,None,"Single-Family Attached, Slab, No Attic, No Garage",Living Space,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,10 ACH50,None,None,None,None,"Finished, R-38",Uninsulated,"Wood Stud, R-7",None,3,30-60%,0-100%,Yes,Electric,Standard,Electric Resistance,1 month,None,80-99%,No,None,No,1 week,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",30-60%,Electricity,Electric Standard,Yes,Living Space,F12 B12 L12 R12,"Single, Clear, Metal"
539,5B,Hour2,"G0800130, G08000803",No,None,"CO, Boulder","CO, Boulder County",Non-CBSA Mountain,5B,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",15000,Northern,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Boulder, CO MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,None,"CO, 00803",50 or more Unit,None,None,Multi-Family with 5+ Units,Yes,2F,Night Setback,Double-Loaded Interior,12,"In metro area, not/partially in principal city",33,RMPAc,None,Hour16,CO,Mountain,Mountain North,West,Others,100% Incandescent,CR05,105%,High,120% Usage,120% Usage,120% Usage,120% Usage,130% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Renter,1960s,Natural Gas,Non-Ducted Heating,None,None,None,0%,1960-79,Vented Crawlspace,Room AC,75F,Heating Only,"Room AC, EER 12.0",None,No,Shared Heating,No,None,Natural Gas Shared Heating,"Boiler Baseboards Heating Only, Fuel",None,None,None,None,67F,Yes,6F,Day and Night -2h,<10000,<20000,<20000,750-999,2,0-1499,15,Bottom,67,Left,"Multi-Family with 5+ Units, 8+ Stories",4+,None,None,"Multi-Family with 5+ Units Bottom Unit, Vented Crawlspace, No Attic, No Garage",None,None,8+,Steel Frame,"Aluminum, Light",40% Conditioned,15 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-19",None,"Wood Stud, Uninsulated",None,1,0-30%,0-100%,None,None,None,Electric Resistance,Never,318 Rated kWh,0-19%,No,None,No,Never,No,None,None,Electricity,None,None,None,EF 17.6,"Asphalt Shingles, Medium",0-30%,Natural Gas,Natural Gas Standard,No,Conditioned Mechanical Room,F30 B30 L30 R30,"Single, Clear, Non-metal"
554,3A,Hour10,"G3700250, G37003200",No,None,"NC, Concord","NC, Cabarrus County",Non-CBSA South Atlantic,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",1000,South-Central,1.1,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Charlotte-Concord-Gastonia, NC-SC MSA",Metropolitan,None,Gas Grill,None,"Cooling Season, 7 days/wk",Northwest,None,"NC, 03200",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",97,SRVCc,No,Hour15,NC,South Atlantic,South Atlantic,South,Others,100% LED,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,1970s,Electricity,Ducted Heat Pump,None,None,None,0%,1960-79,Slab,Ducted Heat Pump,70F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 13, 7.7 HSPF",No,None,Electricity ASHP,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,3000-3999,4,2500-3999,1,None,None,None,Single-Family Detached,1,None,2 Car,"Single-Family Detached, Slab, No Attic, 2 Car Garage",Garage,"20% Leakage to Outside, R-4",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Wood Stud, Uninsulated",None,2,120-150%,400%+,Yes,Electric,Standard,Electric Resistance,Never,None,80-99%,No,None,No,Never,No,None,None,None,None,None,None,EF 17.6,Composition Shingles,100-120%,Electricity,Electric Standard,Yes,Garage,F9 B9 L9 R9,"Double, Clear, Non-metal, Air"
588,2B,Hour12,"G0400130, G04000104",No,None,"AZ, Mesa","AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",15000,Southern,1.1,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Phoenix-Mesa-Scottsdale, AZ MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",South,None,"AZ, 00104",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",28,AZNMc,No,Hour8,AZ,Mountain,Mountain South,West,Others,100% LED,CR10,84%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1980s,Electricity,Ducted Heat Pump,None,None,None,0%,1980-99,Slab,Ducted Heat Pump,75F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 10, 6.2 HSPF",No,None,Electricity ASHP,None,None,None,None,None,70F,No,0F,None,60000-69999,60000-79999,60000-99999,2000-2499,4,1500-2499,1,None,None,None,Single-Family Detached,1,None,1 Car,"Single-Family Detached, Slab, No Attic, 1 Car Garage",Garage,"30% Leakage to Outside, R-4",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,5 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Wood Stud, Uninsulated",None,2,100-120%,400%+,Yes,Electric,EnergyStar,Electric Resistance,Never,318 Rated kWh,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,Composition Shingles,100-120%,Electricity,Electric Standard,Yes,Living Space,F6 B6 L6 R6,"Double, Clear, Non-metal, Air"
621,2B,Hour9,"G0400120, G04000600",No,None,In another census Place,"AZ, La Paz County",Non-CBSA Mountain,2B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",17000,Southern,0.8,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,Non-Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,None,"AZ, 00600",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,Not/partially in metro area,28,AZNMc,No,Hour21,AZ,Mountain,Mountain South,West,Others,100% Incandescent,CR10,84%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Vacant,"Standard Efficiency, No usage",No,None,None,None,Not Available,1970s,Electricity,Ducted Heat Pump,None,None,None,0%,1960-79,Slab,Ducted Heat Pump,76F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 13, 7.7 HSPF",No,None,Electricity ASHP,None,None,None,None,None,55F,No,0F,None,Not Available,Not Available,Not Available,500-749,3,0-1499,2,None,None,None,Single-Family Detached,2,None,1 Car,"Single-Family Detached, Slab, No Attic, 1 Car Garage",Garage,"30% Leakage to Outside, R-4",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,20 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Wood Stud, R-7",Typical Efficiency,0,Not Available,Not Available,Yes,Electric,Standard,Electric Resistance,Never,290 Rated kWh,60-79%,No,None,Yes,Never,Not Available,EF 17.6,None,None,Has Pool,None,1.0 HP Pump,EF 21.9,"Asphalt Shingles, Medium",Not Available,Electricity,Electric Standard,Yes,Living Space,F15 B15 L15 R15,"Double, Clear, Metal, Air"
