zipcode,zipcode_city,zipcode_state,zipcode_latitude,zipcode_longitude,zipcode_energystar_zone,zipcode_iecc_zone,zipcode_utc_offset,station_wmo,station_distance,station_name,station_state,station_altitude,station_latitude,station_longitude,station_filename
01001,Agawam,MA,42.0626,-72.6252,northern,5A,-5,744915,12.98582884,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01008,Blandford,MA,42.1887,-72.9556,northern,5A,-5,744915,20.03797605,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01011,Chester,MA,42.2802,-72.999,northern,5A,-5,744915,26.97670702,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01012,Chesterfield,MA,42.39,-72.8444,northern,5A,-5,744915,27.876558,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01027,Easthampton,MA,42.2952,-72.7431,northern,5A,-5,744915,15.4182654,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01029,East Otis,MA,42.1613,-73.0508,northern,5A,-5,744915,27.5987448,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01030,Feeding Hills,MA,42.0669,-72.6778,northern,5A,-5,744915,10.60862925,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01032,Goshen,MA,42.4675,-72.8362,northern,5A,-5,744915,35.80594757,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01034,Granville,MA,42.0855,-72.9568,northern,5A,-5,744915,21.43395524,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01040,Holyoke,MA,42.212,-72.6423,northern,5A,-5,744915,8.539798795,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01050,Huntington,MA,42.3047,-72.879,northern,5A,-5,744915,21.12329872,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01053,Leeds,MA,42.3532,-72.7129,northern,5A,-5,744915,21.7067491,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01061,Northampton,MA,42.3227,-72.6899,northern,5A,-5,744915,18.43940941,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01071,Russell,MA,42.16,-72.86,northern,5A,-5,744915,11.87158995,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01073,Southampton,MA,42.231,-72.7376,northern,5A,-5,744915,8.309980521,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01077,Southwick,MA,42.055,-72.7789,northern,5A,-5,744915,12.5737158,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01084,West Chesterfield,MA,42.4062,-72.8896,northern,5A,-5,744915,31.07476802,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01085,Westfield,MA,42.1558,-72.7734,northern,5A,-5,744915,4.737794495,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01086,Westfield,MA,42.1253,-72.7501,northern,5A,-5,744915,4.596277702,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01089,West Springfield,MA,42.125,-72.6501,northern,5A,-5,744915,6.556456008,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01090,West Springfield,MA,42.1068,-72.6206,northern,5A,-5,744915,9.7108017,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01096,Williamsburg,MA,42.4143,-72.7787,northern,5A,-5,744915,28.96222344,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01097,Woronoco,MA,42.1594,-72.8751,northern,5A,-5,744915,13.11514219,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01098,Worthington,MA,42.3846,-72.9405,northern,5A,-5,744915,31.24245377,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01107,Springfield,MA,42.1213,-72.6057,northern,5A,-5,744915,9.968106756,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01199,Springfield,MA,42.1198,-72.6055,northern,5A,-5,744915,10.05258499,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01222,Ashley Falls,MA,42.0575,-73.316,northern,5A,-5,744915,50.74205349,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01230,Great Barrington,MA,42.1779,-73.3332,northern,5A,-5,744915,50.91482994,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01238,Lee,MA,42.2764,-73.1899,northern,5A,-5,744915,41.18706313,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01243,Middlefield,MA,42.3514,-73.0159,northern,5A,-5,744915,32.73669883,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01244,Mill River,MA,42.0772,-73.1627,northern,5A,-5,744915,37.92386415,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01245,Monterey,MA,42.2031,-73.2274,northern,5A,-5,744915,42.43617319,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
